sentiment,category
0.9934,nonprofit
0.9934,nonprofit
0.4404,nonprofit
0.5859,nonprofit
0.7717,nonprofit
0.0,nonprofit
0.0,nonprofit
0.0,nonprofit
0.802,nonprofit
0.7717,nonprofit
0.7717,nonprofit
0.6597,nonprofit
-0.128,nonprofit
0.3182,nonprofit
-0.128,nonprofit
0.0,nonprofit
0.9851,nonprofit
0.9818,nonprofit
0.3612,nonprofit
0.3612,nonprofit
0.4019,nonprofit
0.5106,nonprofit
0.6124,nonprofit
0.8106,nonprofit
0.1027,nonprofit
0.3182,nonprofit
0.6908,nonprofit
0.5574,nonprofit
0.0,nonprofit
0.3182,nonprofit
0.6369,nonprofit
0.9984,nonprofit
0.4019,nonprofit
0.4019,nonprofit
0.4019,nonprofit
0.7574,nonprofit
0.2483,nonprofit
-0.731,nonprofit
0.9531,nonprofit
0.9531,nonprofit
0.9531,nonprofit
-0.9989,nonprofit
0.92,nonprofit
0.87,nonprofit
0.9501,nonprofit
0.8221,nonprofit
0.662,nonprofit
0.9996,nonprofit
0.7506,nonprofit
0.1531,nonprofit
0.4027,nonprofit
,nonprofit
0.0,nonprofit
0.7096,nonprofit
0.7845,nonprofit
0.0,nonprofit
0.9977,nonprofit
0.9832,nonprofit
0.9832,nonprofit
0.2023,nonprofit
-0.8225,nonprofit
-1.0,nonprofit
-0.9996,nonprofit
0.0772,nonprofit
0.3818,nonprofit
0.9869,nonprofit
0.4215,nonprofit
0.4215,nonprofit
-0.1779,nonprofit
0.9902,nonprofit
0.9888,nonprofit
0.9457,nonprofit
0.743,nonprofit
0.9965,nonprofit
0.9657,nonprofit
-0.9997,nonprofit
0.9265,nonprofit
-1.0,nonprofit
-0.9999,nonprofit
0.9657,nonprofit
0.9657,nonprofit
0.9657,nonprofit
-1.0,nonprofit
-0.9996,nonprofit
1.0,nonprofit
0.9999,nonprofit
1.0,nonprofit
-0.7696,nonprofit
0.4767,nonprofit
,nonprofit
0.5719,nonprofit
0.9851,nonprofit
0.7096,nonprofit
0.1779,privateorg
0.8126,privateorg
0.9816,privateorg
0.0,privateorg
0.0,privateorg
0.3952,privateorg
0.3952,privateorg
,privateorg
0.0,privateorg
0.4724,privateorg
0.9964,privateorg
0.984,privateorg
0.0,privateorg
0.9287,privateorg
0.0,privateorg
0.0,privateorg
0.802,privateorg
0.7925,privateorg
0.0,privateorg
0.0,privateorg
0.0,privateorg
0.0,privateorg
0.9165,privateorg
0.4019,privateorg
0.936,privateorg
0.0,privateorg
0.9794,privateorg
0.8126,privateorg
-0.6553,privateorg
0.0,privateorg
0.0,privateorg
0.9657,privateorg
0.0258,privateorg
0.9042,privateorg
-0.3491,privateorg
-0.9758,privateorg
0.9287,privateorg
-0.1779,privateorg
-0.128,privateorg
-0.128,privateorg
-0.0258,privateorg
0.8425,privateorg
0.8425,privateorg
-0.34,privateorg
0.6249,privateorg
0.6249,privateorg
0.6249,privateorg
0.0,privateorg
0.9929,privateorg
0.0,privateorg
0.0,privateorg
0.9671,privateorg
0.927,privateorg
0.1862,privateorg
-0.34,privateorg
0.8126,privateorg
0.0,privateorg
0.0,privateorg
0.9449,privateorg
0.0,privateorg
-0.2244,privateorg
-0.2244,privateorg
0.0258,privateorg
0.3612,privateorg
0.3612,privateorg
0.3612,privateorg
0.3612,privateorg
0.1027,privateorg
0.3182,privateorg
0.5012,privateorg
0.1531,privateorg
0.7896,privateorg
0.6597,privateorg
0.2023,privateorg
0.6124,privateorg
0.1531,privateorg
0.6124,privateorg
0.3612,privateorg
0.9771,privateorg
0.8782,privateorg
0.9531,privateorg
0.8221,privateorg
0.8221,privateorg
0.4199,privateorg
0.4199,privateorg
0.4199,privateorg
0.4199,privateorg
0.8932,privateorg
0.75,privateorg
0.9287,privateorg
0.4588,privateorg
0.9165,privateorg
